k,t_k1_s,pwm_k,u_eff_k,omega_k_rad_s,omega_k1_rad_s
0,0.020000,0.000000,0.000000,0.00000000,0.00000000
1,0.040000,0.000000,0.000000,0.00000000,0.00000000
2,0.060000,0.000000,0.000000,0.00000000,0.00000000
3,0.080000,0.000000,0.000000,0.00000000,0.00000000
4,0.100000,0.000000,0.000000,0.00000000,0.00000000
5,0.120000,0.000000,0.000000,0.00000000,0.00000000
6,0.140000,0.000000,0.000000,0.00000000,0.00000000
7,0.160000,0.000000,0.000000,0.00000000,0.00000000
8,0.180000,0.000000,0.000000,0.00000000,0.00000000
9,0.200000,0.000000,0.000000,0.00000000,0.00000000
10,0.220000,0.000000,0.000000,0.00000000,0.00000000
11,0.240000,0.000000,0.000000,0.00000000,0.00000000
12,0.260000,0.000000,0.000000,0.00000000,0.00000000
13,0.280000,0.000000,0.000000,0.00000000,0.00000000
14,0.300000,0.000000,0.000000,0.00000000,0.00000000
15,0.320000,0.000000,0.000000,0.00000000,0.00000000
16,0.340000,0.000000,0.000000,0.00000000,0.00000000
17,0.360000,0.000000,0.000000,0.00000000,0.00000000
18,0.380000,0.000000,0.000000,0.00000000,0.00000000
19,0.400000,0.000000,0.000000,0.00000000,0.00000000
20,0.420000,0.000000,0.000000,0.00000000,0.00000000
21,0.440000,0.000000,0.000000,0.00000000,0.00000000
22,0.460000,0.000000,0.000000,0.00000000,0.00000000
23,0.480000,0.000000,0.000000,0.00000000,0.00000000
24,0.500000,0.000000,0.000000,0.00000000,0.00000000
25,0.520000,0.000000,0.000000,0.00000000,0.00000000
26,0.540000,0.000000,0.000000,0.00000000,0.00000000
27,0.560000,0.000000,0.000000,0.00000000,0.00000000
28,0.580000,0.000000,0.000000,0.00000000,0.00000000
29,0.600000,0.000000,0.000000,0.00000000,0.00000000
30,0.620000,0.000000,0.000000,0.00000000,0.00000000
31,0.640000,0.000000,0.000000,0.00000000,0.00000000
32,0.660000,0.000000,0.000000,0.00000000,0.00000000
33,0.680000,0.000000,0.000000,0.00000000,0.00000000
34,0.700000,0.000000,0.000000,0.00000000,0.00000000
35,0.720000,0.000000,0.000000,0.00000000,0.00000000
36,0.740000,0.000000,0.000000,0.00000000,0.00000000
37,0.760000,0.000000,0.000000,0.00000000,0.00000000
38,0.780000,0.000000,0.000000,0.00000000,0.00000000
39,0.800000,0.000000,0.000000,0.00000000,0.00000000
40,0.820000,0.000000,0.000000,0.00000000,0.00000000
41,0.840000,0.000000,0.000000,0.00000000,0.00000000
42,0.860000,0.000000,0.000000,0.00000000,0.00000000
43,0.880000,0.000000,0.000000,0.00000000,0.00000000
44,0.900000,0.000000,0.000000,0.00000000,0.00000000
45,0.920000,0.000000,0.000000,0.00000000,0.00000000
46,0.940000,0.000000,0.000000,0.00000000,0.00000000
47,0.960000,0.000000,0.000000,0.00000000,0.00000000
48,0.980000,0.000000,0.000000,0.00000000,0.00000000
49,1.000000,0.000000,0.000000,0.00000000,0.00000000
50,1.020000,0.700000,0.333333,0.00000000,-0.31797495
51,1.040000,0.700000,0.333333,-0.31797495,-2.70278740
52,1.060000,0.700000,0.333333,-2.70278740,-3.81569982
53,1.080000,0.700000,0.333333,-3.81569982,-4.45164967
54,1.100000,0.700000,0.333333,-4.45164967,-4.61063719
55,1.120000,0.700000,0.333333,-4.61063719,-4.92861223
56,1.140000,0.700000,0.333333,-4.92861223,-4.92861223
57,1.160000,0.700000,0.333333,-4.92861223,-4.92861223
58,1.180000,0.700000,0.333333,-4.92861223,-4.92861223
59,1.200000,0.700000,0.333333,-4.92861223,-5.08759928
60,1.220000,0.700000,0.333333,-5.08759928,-4.92861223
61,1.240000,0.700000,0.333333,-4.92861223,-4.92861223
62,1.260000,0.700000,0.333333,-4.92861223,-5.08759928
63,1.280000,0.700000,0.333333,-5.08759928,-4.92861223
64,1.300000,0.700000,0.333333,-4.92861223,-5.08759928
65,1.320000,0.700000,0.333333,-5.08759928,-4.92861223
66,1.340000,0.700000,0.333333,-4.92861223,-5.08759928
67,1.360000,0.700000,0.333333,-5.08759928,-4.92861223
68,1.380000,0.700000,0.333333,-4.92861223,-5.08759928
69,1.400000,0.700000,0.333333,-5.08759928,-4.92861223
70,1.420000,0.700000,0.333333,-4.92861223,-5.08759928
71,1.440000,0.700000,0.333333,-5.08759928,-4.92861223
72,1.460000,0.700000,0.333333,-4.92861223,-5.08759928
